date,name,discount_percent,rating_percent,sale_price,normal_price,steam_appid,deal_rating,year
12/8/25,The Hidden Ghost,95.009501,81,4.99,99.99,1927540,0,
12/8/25,Fire Truck Simulator,95.009501,78,4.99,99.99,2018850,0,
12/8/25,Cowboy Girl,95.009501,76,4.99,99.99,2017020,0,
12/8/25,Car Parkour,95.009501,66,4.99,99.99,2374570,0,
12/8/25,Destroy All Zombies,95.009501,92,4.99,99.99,2394610,0,
12/8/25,Last Day of Zombies,95.009501,100,4.99,99.99,2394600,0,
12/8/25,Beach Gas Gas,95.009501,80,4.99,99.99,2387820,0,
12/8/25,Bike Offroad Simulator,95.009501,80,4.99,99.99,2400760,0,
12/8/25,The Ultimate Shot,95.009501,90,4.99,99.99,1917740,0,
12/8/25,School Bus Driver Simulator,95.00475,68,9.99,199.99,1977280,0,
12/8/25,Fly Fly Tuk Tuk,95.00475,96,9.99,199.99,2085510,0,
12/8/25,Reach the Moon!,95.00475,100,9.99,199.99,2203480,0,
12/8/25,Fly Fly Dragon!,95.00475,100,9.99,199.99,2471620,0,
12/8/25,Next Station: Zombies,95.00475,100,9.99,199.99,2477000,0,
12/8/25,Long Truck Simulator,95.00475,90,9.99,199.99,2363810,0,
12/8/25,Fix My Cat Doc,95.00475,84,9.99,199.99,2124660,0,
12/8/25,Snake Robot,95.00475,81,9.99,199.99,2247790,0,
12/8/25,Supreme Race on Highway,95.00475,0,9.99,199.99,1927710,0,
12/8/25,People Jumping Tower,95.00475,100,9.99,199.99,2387830,0,
12/8/25,The Kings Castle,95.00475,60,9.99,199.99,2124650,0,
12/8/25,Impossible Stunts,95.00475,80,9.99,199.99,2471600,0,
12/8/25,The Gunk,94.579946,86,1,18.45,1087760,8.1,
12/8/25,Togges,94.579946,67,1,18.45,1550270,6.7,
12/8/25,V.T.,94.072363,57,0.77,12.99,883670,0,
12/8/25,Woodle Tree 2: Deluxe,94.072363,86,0.77,12.99,1173740,0.9,
12/8/25,Ship Graveyard Simulator,94.062708,65,0.89,14.99,1286880,4.7,
12/8/25,Police Shootout,94.062708,54,0.89,14.99,1279240,4.7,
12/8/25,Arelite Core,94.055327,86,1.01,16.99,466160,4.9,
12/8/25,Pure Farming 2018,94.047024,72,1.19,19.99,534370,8.6,
12/8/25,The Padre,94.047024,65,1.19,19.99,747650,3.5,
12/8/25,Ritual: Crown of Horns,94.047024,71,1.19,19.99,1059150,3.5,
